GFPT2	NADSYN1
OXCT1	ACAT2
PIK3R2	CRK
PLA2G3	GNAS
PDE10A	HPRT1
CYBA	MAPK14
ADCY4	PDE9A
ITPR1	PLCD3
PPARG	GK
GNAO1	FZD1
FGF5	PDGFRB
ITGB5	COL2A1
PIK3R2	RAC3
UGT1A8	TRMT11
IMPA2	PLCD4
GSTA4	GGT7
SRC	RAC3
GUCY2C	PDE4C
ITGB6	COL6A6
POLR1A	NME1
LPL	LIPG
PLD1	PLA2G2F
CCNB2	ANAPC2
GAD2	ALDH1A3
PLCZ1	PRKCG
PRKCD	MMP14
AGPAT4	AGK
GSTP1	GPX3
GAD1	CDO1
UGT1A8	CYP2E1
CGN	MYH8
HTR6	GNAS
NT5C	CDA
AMT	MTHFD2
PKLR	LDHAL6B
CDIPT	CDS1
DGKQ	PNLIPRP2
SOCS5	CSF2RA
PIK3CB	GAB1
LCK	CD4
AKR1B1	ALDH1A3
PLA2G10	CYP3A43
ADCY4	GNG3
CASP7	BIRC3
SOCS1	IFNGR2
PLXNA3	CDK5
TNFSF11	TNFRSF11A
ALDH2	HIBADH
GUCY2F	PDE8B
PLD1	PPAP2A
SULT2B1	HSD3B2
PIK3CD	CD28
MAP3K14	TRAF2
PRKACA	CREB3
ITPA	NME4
ORC6	CDC6
CSK	ITGA2
SI	AMY2A
GSTM1	CYP2S1
CCL5	CCR5
GCDH	ESCO1
INPP5B	PIKFYVE
DIAPH1	PFN4
ITGA11	TNXB
PRMT7	HARS2
DVL3	NOTCH3
DCC	PPP3R2
FADD	TNFRSF10B
TGFB1	HIF1A
PRMT8	HARS2
GLI1	CSNK1A1L
ITGB5	COL4A1
VCL	ACTG1
ALAS1	GNMT
IL13RA2	CBL
AOC3	ALDH9A1
ITGA10	LAMC1
PHPT1	HK3
WNT5B	FZD1
ARG2	NOS1
COL4A1	SDC1
SHMT1	GART
RAC3	RELA
ADCY6	PDE6H
LCT	RDH13
PLXNA3	FES
PIK3R2	PDGFRB
PRKCB	KRAS
GSTO2	TXNDC12
EGFR	VEGFC
ENTPD8	POLE
GLA	NEU2
CYP4A11	ALDH1A3
ANAPC4	ANAPC1
UGT1A7	CYP2E1
TRAF6	IL1R2
APRT	AMPD3
POLR2F	NME1
MAPK1	CAMK2B
PFKFB4	HK1
PTTG2	ESPL1
TBL1XR1	CTNNB1
EPAS1	ARNT2
PXN	ITGA4
ACER2	SPHK1
BCAR1	ITGAE
POLR2J	GUCY1A3
